CustomerId,Date,Score
15940384,2019-09,556
15336307,2019-07,642
14992125,2017-10,722
15612423,2013-10,588
14623220,2019-03,608
14684299,2014-06,765
15365300,2018-05,633
15057172,2013-06,611
14907071,2018-07,538
15606983,2017-09,577
15169682,2018-05,747
15181893,2018-10,748
15349245,2011-11,678
14546392,2018-09,657
15114070,2018-09,508
14612844,2012-10,806
15506516,2017-11,521
15913930,2017-08,630
14606397,2014-07,570
15203045,2018-07,583
15538467,2018-12,579
15081069,2012-11,797
15498139,2018-10,745
15424023,2012-03,565
14968854,2018-10,655
15215571,2013-12,677
14960380,2014-08,625
15718119,2014-03,758
15424023,2012-06,765
14989716,2018-03,809
15011667,2018-08,536
15960786,2012-05,628
15039660,2012-07,679
14827795,2011-11,659
15818457,2019-03,590
14566804,2012-10,678
14919485,2014-05,761
14891635,2012-08,658
15556601,2013-05,785
15265493,2012-02,690
15515023,2019-04,748
14904332,2013-11,638
14725636,2013-10,552
14951676,2012-08,637
15726411,2012-09,572
14880214,2013-02,649
14523533,2019-08,755
15950397,2018-06,557
15654493,2013-02,705
15887439,2012-01,809
15000648,2019-05,595
15571119,2019-03,570
14826540,2013-12,668
15215455,2019-08,901
15038255,2013-01,719
15707709,2011-12,658
15561150,2012-12,566
14982895,2014-03,684
15557552,2014-08,853
15473941,2012-10,703
14690779,2019-05,651
14725636,2013-11,613
15918731,2019-01,599
15336369,2013-02,529
15975179,2019-03,768
15918143,2014-03,691
15563797,2019-03,485
15169682,2018-09,763
14930917,2019-11,667
15918143,2014-07,605
15550902,2013-03,567
14753589,2014-09,686
15923951,2020-01,645
15257007,2019-06,657
15014099,2017-10,597
15940354,2014-03,712
15395150,2019-08,638
15660590,2013-02,671
15057172,2013-01,699
15014704,2012-06,573
15684551,2012-01,656
15753444,2014-04,571
15345770,2018-06,734
15211587,2019-10,584
14761828,2014-09,490
15613805,2019-05,633
15333999,2013-06,733
15939803,2019-06,601
15613805,2018-11,680
15335867,2018-08,651
14861333,2019-04,748
15688896,2012-08,468
15736152,2012-01,694
15854867,2018-08,609
14934257,2013-09,808
14543918,2014-01,740
15498139,2018-05,861
15960786,2012-06,688
15790164,2019-05,565
15723969,2019-05,496
14691523,2013-08,545
14562879,2013-06,571
15213169,2012-09,630
14751664,2014-03,643
15261844,2013-04,827
15843244,2018-11,487
14873582,2018-04,719
15362757,2014-02,593
14915134,2013-07,619
14583397,2014-08,653
15648882,2018-10,680
15748627,2014-02,749
15803148,2019-06,677
15322525,2013-09,661
15824791,2018-03,688
14836171,2018-10,639
15039660,2013-02,685
14952923,2013-12,460
14961173,2013-02,506
15957649,2014-07,579
15119035,2014-08,697
15870065,2019-11,641
15934984,2011-10,631
15619905,2018-03,786
15805318,2019-08,748
15232024,2011-12,652
15313472,2019-09,530
14944995,2012-11,583
14919485,2014-09,608
14952923,2014-08,676
15584882,2017-12,595
15848426,2012-01,707
15805666,2018-09,582
14919485,2014-12,614
15636076,2018-12,740
14923525,2014-06,470
15607226,2012-08,648
15673940,2014-04,741
14534280,2017-12,764
14639646,2014-08,559
14996123,2018-06,435
15980344,2013-02,677
15776724,2019-01,577
15805666,2019-03,650
15915928,2019-07,547
15033099,2013-06,675
15143654,2014-02,632
14523468,2018-02,692
14902170,2014-01,560
14848778,2018-07,663
15823905,2014-08,523
15655050,2014-02,526
14920098,2013-11,721
